a52dec 0.7.4-11
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
pcsclite 1.9.5-1
perl 5.34.1-1
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.78-1
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.13-1
perl-http-date 6.05-4
perl-http-message 6.36-1
perl-http-negotiate 6.01-9
perl-image-exiftool 12.40-1
perl-io-html 1.004-2
perl-libwww 6.59-1
perl-lwp-mediatypes 6.04-1
perl-mailtools 2.21-5
perl-net-http 6.22-1
perl-parse-yapp 1.21-4
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-uri 5.10-1
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
pinentry 1.2.0-1
pipewire 1:0.3.50-1
pipewire-alsa 1:0.3.50-1
pipewire-jack 1:0.3.50-1
pipewire-media-session 1:0.4.1-1
pipewire-pulse 1:0.3.50-1
pixman 0.40.0-1
pkcs11-helper 1.28.0-1
pkgconf 1.8.0-1
pkgfile 21-2
polkit 0.120-5
polkit-gnome 0.105-8
poppler 22.03.0-1
poppler-glib 22.03.0-1
popt 1.18-3
portaudio 1:19.7.0-1
postgresql-libs 14.2-1
power-profiles-daemon 0.10.1-2
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
psmisc 23.4-1
python 3.10.4-1
python-appdirs 1.4.4-6
python-atspi 2.38.2-1
python-cachecontrol 1:0.12.6-4
python-cairo 1.21.0-1
python-certifi 2021.10.8-3
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.2-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.0-1
python-gobject 3.42.1-1
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-markdown 3.3.6-3
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pam 1.8.4-7
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pillow 9.1.0-1
python-pip 21.0-1
python-ply 3.11-10
python-progress 1.6-5
python-psutil 5.9.0-1
python-ptyprocess 0.7.0-4
python-pycparser 2.21-3
python-pyinotify 0.9.6-11
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.8-1
python-pytz 2022.1-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setproctitle 1.2.3-1
python-setuptools 1:59.5.0-1
python-shtab 1.5.3-1
python-six 1.16.0-5
python-termcolor 1.1.0-12
python-tinycss2 1.1.1-1
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-urllib3 1.26.9-1
python-webencodings 0.5.1-9
python-xapp 2.2.1-4
python-zipp 3.8.0-1
qrencode 4.1.1-1
qt6-base 6.3.0-3
qt6-declarative 6.3.0-1
qt6-translations 6.3.0-1
r 4.1.3-2
raptor 2.0.15-19
rav1e 0.4.1-2
readline 8.1.002-1
rebuild-detector 4.4.1-2
recode 3.7.12-1
reflector 2021.11-3
reflector-simple 2021.12.31-1
reiserfsprogs 3.6.27-3
rest 0.8.1+r4+ge5ee6ef-1
rp-pppoe 3.15-2
rpcbind 1.2.6-2
rsync 3.2.4-1
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 2.0.2-1
run-parts 5.5-1
s-nail 14.9.23-1
samba 4.16.0-5
sbc 1.5-2
sdl2 2.0.20-2
sed 4.8-1
serd 0.30.10-1
sg3_utils 1.47-1
shaderc 2022.1-2
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
slang 2.3.2-2
smartmontools 7.3-1
smbclient 4.16.0-5
snappy 1.1.9-2
sof-firmware 2.1.1-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.1-2
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2022.1-1
sqlite 3.38.2-1
sratom 0.6.8-3
srt 1.4.4-1
sshfs 3.7.2-2
startup-notification 0.12-7
steam 1.0.0.74-1
stoken 0.92-4
sudo 1.9.10-1
svt-av1 0.9.0-2
svt-hevc 1.5.1-2
sxiv 26-1
sysfsutils 2.1.1-1
systemd 250.4-2
systemd-libs 250.4-2
systemd-sysvcompat 250.4-2
talloc 2.3.3-3
tar 1.34-1
tcl 8.6.12-3
tdb 1.4.6-1
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
timezonemap 0.4.5.1-2
tk 8.6.12-1
tldr 3.1.0-1
tpm2-tss 3.2.0-1
tracker3 3.3.0-2
tree 2.0.2-1
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tzdata 2022a-1
uchardet 0.0.7-1
udisks2 2.9.4-1
ufw 0.36.1-1
unrar 1:6.1.6-1
unzip 6.0-18
upower 0.99.17-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbutils 014-2
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 8.2.4651-1
vim-runtime 8.2.4651-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r501.r196-1
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-headers 1:1.3.211-1
vulkan-icd-loader 1.3.208-1
wayland 1.20.0-2
webkit2gtk 2.36.0-3
webrtc-audio-processing 0.3.1-3
welcome 3.17.31-2
wget 1.21.3-1
which 2.21-5
whois 5.5.13-1
wildmidi 0.4.4-1
wireless-regdb 2022.04.08-1
wireless_tools 30.pre9-3
woff2 1.0.2-3
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xapp 2.2.8-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-dbus-proxy 0.1.3-1
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xed 3.2.2-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xfsprogs 5.15.0-2
xkeyboard-config 2.35.1-1
xl2tpd 1.3.17-1
xmlsec 1.2.33-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.3-4
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkill 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorgproto 2021.5-1
xreader 3.3.0-1
xterm 372-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.5-3
yad-eos 11.1-1
yay 11.1.2-1
yt-dlp 2022.04.08-1
zbar 0.23.1-9
zenity 3.42.0-1
zeromq 4.3.4-2
zimg 3.0.3-2
zip 3.0-10
zlib 1:1.2.12-1
zstd 1.5.2-3
zvbi 0.2.35-4
zxing-cpp 1.2.0-1
